id,module,module_title,module_question,topic,type,difficulty,question,A,B,C,D,answer,answer_text,explanation
163,2,Global Supply Chain Networks,63,resilient network design,trap,Exam Trap,Which choice is the most common trap when working with resilient network design?,Checking whether the decision supports business strategy.,eliminating every buffer and backup to chase short-term cost.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,B,eliminating every buffer and backup to chase short-term cost.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For resilient network design, remember: balance efficiency with redundancy, optionality, and recovery capability. Watch for the trap of eliminating every buffer and backup to chase short-term cost."
164,2,Global Supply Chain Networks,64,resilient network design,metric,Applied,"When using metrics or analysis related to resilient network design, what is the safest interpretation?","It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,A,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For resilient network design, remember: balance efficiency with redundancy, optionality, and recovery capability. Watch for the trap of eliminating every buffer and backup to chase short-term cost."
165,2,Global Supply Chain Networks,65,resilient network design,scenario,Scenario,A team is struggling with resilient network design. What response best reflects CSCP thinking?,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"balance efficiency with redundancy, optionality, and recovery capability and verify the impact through agreed metrics.",D,"balance efficiency with redundancy, optionality, and recovery capability and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For resilient network design, remember: balance efficiency with redundancy, optionality, and recovery capability. Watch for the trap of eliminating every buffer and backup to chase short-term cost."
166,2,Global Supply Chain Networks,66,tax and duty considerations,concept,Foundation,Which statement best describes tax and duty considerations in a CSCP context?,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on cost and compliance implications from tariffs, duties, taxes, and trade agreements.",It is mainly a finance-only control that does not affect operations.,C,"It focuses on cost and compliance implications from tariffs, duties, taxes, and trade agreements.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For tax and duty considerations, remember: include tax and duty impacts in network and sourcing decisions. Watch for the trap of ignoring trade rules until after the network is built."
167,2,Global Supply Chain Networks,67,tax and duty considerations,best_action,Applied,A supply chain leader is reviewing tax and duty considerations. What is the best next action?,Freeze all planning changes permanently to avoid variation.,include tax and duty impacts in network and sourcing decisions.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,B,include tax and duty impacts in network and sourcing decisions.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For tax and duty considerations, remember: include tax and duty impacts in network and sourcing decisions. Watch for the trap of ignoring trade rules until after the network is built."
168,2,Global Supply Chain Networks,68,tax and duty considerations,trap,Exam Trap,Which choice is the most common trap when working with tax and duty considerations?,ignoring trade rules until after the network is built.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,A,ignoring trade rules until after the network is built.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For tax and duty considerations, remember: include tax and duty impacts in network and sourcing decisions. Watch for the trap of ignoring trade rules until after the network is built."
169,2,Global Supply Chain Networks,69,tax and duty considerations,metric,Applied,"When using metrics or analysis related to tax and duty considerations, what is the safest interpretation?",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",D,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For tax and duty considerations, remember: include tax and duty impacts in network and sourcing decisions. Watch for the trap of ignoring trade rules until after the network is built."
170,2,Global Supply Chain Networks,70,tax and duty considerations,scenario,Scenario,A team is struggling with tax and duty considerations. What response best reflects CSCP thinking?,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,include tax and duty impacts in network and sourcing decisions and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,C,include tax and duty impacts in network and sourcing decisions and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For tax and duty considerations, remember: include tax and duty impacts in network and sourcing decisions. Watch for the trap of ignoring trade rules until after the network is built."
171,2,Global Supply Chain Networks,71,capacity location decisions,concept,Foundation,Which statement best describes capacity location decisions in a CSCP context?,It is used only after customer orders have already shipped.,"It focuses on selecting where to place capacity based on cost, service, labor, risk, infrastructure, and market access.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,B,"It focuses on selecting where to place capacity based on cost, service, labor, risk, infrastructure, and market access.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For capacity location decisions, remember: score alternatives against strategic and operational criteria. Watch for the trap of choosing a location based on incentives alone."
172,2,Global Supply Chain Networks,72,capacity location decisions,best_action,Applied,A supply chain leader is reviewing capacity location decisions. What is the best next action?,score alternatives against strategic and operational criteria.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,A,score alternatives against strategic and operational criteria.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For capacity location decisions, remember: score alternatives against strategic and operational criteria. Watch for the trap of choosing a location based on incentives alone."
173,2,Global Supply Chain Networks,73,capacity location decisions,trap,Exam Trap,Which choice is the most common trap when working with capacity location decisions?,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,choosing a location based on incentives alone.,D,choosing a location based on incentives alone.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For capacity location decisions, remember: score alternatives against strategic and operational criteria. Watch for the trap of choosing a location based on incentives alone."
174,2,Global Supply Chain Networks,74,capacity location decisions,metric,Applied,"When using metrics or analysis related to capacity location decisions, what is the safest interpretation?",It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,C,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For capacity location decisions, remember: score alternatives against strategic and operational criteria. Watch for the trap of choosing a location based on incentives alone."
175,2,Global Supply Chain Networks,75,capacity location decisions,scenario,Scenario,A team is struggling with capacity location decisions. What response best reflects CSCP thinking?,Ask each department to create a separate plan so they can move faster.,score alternatives against strategic and operational criteria and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,B,score alternatives against strategic and operational criteria and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For capacity location decisions, remember: score alternatives against strategic and operational criteria. Watch for the trap of choosing a location based on incentives alone."
176,2,Global Supply Chain Networks,76,environmental scanning,concept,Foundation,Which statement best describes environmental scanning in a CSCP context?,"It focuses on monitoring political, economic, social, technological, legal, and environmental factors.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,A,"It focuses on monitoring political, economic, social, technological, legal, and environmental factors.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For environmental scanning, remember: update strategy and risk assumptions as external conditions change. Watch for the trap of assuming today constraints will remain stable."
177,2,Global Supply Chain Networks,77,environmental scanning,best_action,Applied,A supply chain leader is reviewing environmental scanning. What is the best next action?,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,update strategy and risk assumptions as external conditions change.,D,update strategy and risk assumptions as external conditions change.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For environmental scanning, remember: update strategy and risk assumptions as external conditions change. Watch for the trap of assuming today constraints will remain stable."
178,2,Global Supply Chain Networks,78,environmental scanning,trap,Exam Trap,Which choice is the most common trap when working with environmental scanning?,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,assuming today constraints will remain stable.,Documenting the assumptions used to make the decision.,C,assuming today constraints will remain stable.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For environmental scanning, remember: update strategy and risk assumptions as external conditions change. Watch for the trap of assuming today constraints will remain stable."
179,2,Global Supply Chain Networks,79,environmental scanning,metric,Applied,"When using metrics or analysis related to environmental scanning, what is the safest interpretation?",It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,B,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For environmental scanning, remember: update strategy and risk assumptions as external conditions change. Watch for the trap of assuming today constraints will remain stable."
180,2,Global Supply Chain Networks,80,environmental scanning,scenario,Scenario,A team is struggling with environmental scanning. What response best reflects CSCP thinking?,update strategy and risk assumptions as external conditions change and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,A,update strategy and risk assumptions as external conditions change and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For environmental scanning, remember: update strategy and risk assumptions as external conditions change. Watch for the trap of assuming today constraints will remain stable."
181,2,Global Supply Chain Networks,81,enterprise performance measures,concept,Foundation,Which statement best describes enterprise performance measures in a CSCP context?,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,It focuses on metrics that evaluate end-to-end performance rather than one department only.,D,It focuses on metrics that evaluate end-to-end performance rather than one department only.,"The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For enterprise performance measures, remember: choose balanced metrics for service, cost, asset use, quality, and flexibility. Watch for the trap of rewarding local efficiency that hurts total performance."
182,2,Global Supply Chain Networks,82,enterprise performance measures,best_action,Applied,A supply chain leader is reviewing enterprise performance measures. What is the best next action?,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,"choose balanced metrics for service, cost, asset use, quality, and flexibility.",Increase expediting and overtime before validating the root cause.,C,"choose balanced metrics for service, cost, asset use, quality, and flexibility.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For enterprise performance measures, remember: choose balanced metrics for service, cost, asset use, quality, and flexibility. Watch for the trap of rewarding local efficiency that hurts total performance."
183,2,Global Supply Chain Networks,83,enterprise performance measures,trap,Exam Trap,Which choice is the most common trap when working with enterprise performance measures?,Checking whether the decision supports business strategy.,rewarding local efficiency that hurts total performance.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,B,rewarding local efficiency that hurts total performance.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For enterprise performance measures, remember: choose balanced metrics for service, cost, asset use, quality, and flexibility. Watch for the trap of rewarding local efficiency that hurts total performance."
184,2,Global Supply Chain Networks,84,enterprise performance measures,metric,Applied,"When using metrics or analysis related to enterprise performance measures, what is the safest interpretation?","It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,A,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For enterprise performance measures, remember: choose balanced metrics for service, cost, asset use, quality, and flexibility. Watch for the trap of rewarding local efficiency that hurts total performance."
185,2,Global Supply Chain Networks,85,enterprise performance measures,scenario,Scenario,A team is struggling with enterprise performance measures. What response best reflects CSCP thinking?,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"choose balanced metrics for service, cost, asset use, quality, and flexibility and verify the impact through agreed metrics.",D,"choose balanced metrics for service, cost, asset use, quality, and flexibility and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For enterprise performance measures, remember: choose balanced metrics for service, cost, asset use, quality, and flexibility. Watch for the trap of rewarding local efficiency that hurts total performance."
186,2,Global Supply Chain Networks,86,trade-off analysis,concept,Foundation,Which statement best describes trade-off analysis in a CSCP context?,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on evaluating competing objectives such as cost, service, inventory, flexibility, and risk.",It is mainly a finance-only control that does not affect operations.,C,"It focuses on evaluating competing objectives such as cost, service, inventory, flexibility, and risk.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For trade-off analysis, remember: make the constraint and decision priority explicit before choosing. Watch for the trap of pretending one choice can maximize every metric at once."
187,2,Global Supply Chain Networks,87,trade-off analysis,best_action,Applied,A supply chain leader is reviewing trade-off analysis. What is the best next action?,Freeze all planning changes permanently to avoid variation.,make the constraint and decision priority explicit before choosing.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,B,make the constraint and decision priority explicit before choosing.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For trade-off analysis, remember: make the constraint and decision priority explicit before choosing. Watch for the trap of pretending one choice can maximize every metric at once."
188,2,Global Supply Chain Networks,88,trade-off analysis,trap,Exam Trap,Which choice is the most common trap when working with trade-off analysis?,pretending one choice can maximize every metric at once.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,A,pretending one choice can maximize every metric at once.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For trade-off analysis, remember: make the constraint and decision priority explicit before choosing. Watch for the trap of pretending one choice can maximize every metric at once."
189,2,Global Supply Chain Networks,89,trade-off analysis,metric,Applied,"When using metrics or analysis related to trade-off analysis, what is the safest interpretation?",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",D,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For trade-off analysis, remember: make the constraint and decision priority explicit before choosing. Watch for the trap of pretending one choice can maximize every metric at once."
190,2,Global Supply Chain Networks,90,trade-off analysis,scenario,Scenario,A team is struggling with trade-off analysis. What response best reflects CSCP thinking?,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,make the constraint and decision priority explicit before choosing and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,C,make the constraint and decision priority explicit before choosing and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For trade-off analysis, remember: make the constraint and decision priority explicit before choosing. Watch for the trap of pretending one choice can maximize every metric at once."
191,2,Global Supply Chain Networks,91,business continuity in networks,concept,Foundation,Which statement best describes business continuity in networks in a CSCP context?,It is used only after customer orders have already shipped.,It focuses on planning how the supply chain continues or recovers during disruption.,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,B,It focuses on planning how the supply chain continues or recovers during disruption.,"The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For business continuity in networks, remember: map critical nodes and create recovery playbooks. Watch for the trap of having a plan that has never been tested."
192,2,Global Supply Chain Networks,92,business continuity in networks,best_action,Applied,A supply chain leader is reviewing business continuity in networks. What is the best next action?,map critical nodes and create recovery playbooks.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,A,map critical nodes and create recovery playbooks.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For business continuity in networks, remember: map critical nodes and create recovery playbooks. Watch for the trap of having a plan that has never been tested."
193,2,Global Supply Chain Networks,93,business continuity in networks,trap,Exam Trap,Which choice is the most common trap when working with business continuity in networks?,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,having a plan that has never been tested.,D,having a plan that has never been tested.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For business continuity in networks, remember: map critical nodes and create recovery playbooks. Watch for the trap of having a plan that has never been tested."
194,2,Global Supply Chain Networks,94,business continuity in networks,metric,Applied,"When using metrics or analysis related to business continuity in networks, what is the safest interpretation?",It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,C,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For business continuity in networks, remember: map critical nodes and create recovery playbooks. Watch for the trap of having a plan that has never been tested."
195,2,Global Supply Chain Networks,95,business continuity in networks,scenario,Scenario,A team is struggling with business continuity in networks. What response best reflects CSCP thinking?,Ask each department to create a separate plan so they can move faster.,map critical nodes and create recovery playbooks and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,B,map critical nodes and create recovery playbooks and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For business continuity in networks, remember: map critical nodes and create recovery playbooks. Watch for the trap of having a plan that has never been tested."
196,2,Global Supply Chain Networks,96,data governance,concept,Foundation,Which statement best describes data governance in a CSCP context?,"It focuses on ownership, standards, quality controls, and rules for supply chain data.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,A,"It focuses on ownership, standards, quality controls, and rules for supply chain data.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For data governance, remember: define data owners and controls before relying on analytics. Watch for the trap of believing dashboards fix bad master data."
197,2,Global Supply Chain Networks,97,data governance,best_action,Applied,A supply chain leader is reviewing data governance. What is the best next action?,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,define data owners and controls before relying on analytics.,D,define data owners and controls before relying on analytics.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For data governance, remember: define data owners and controls before relying on analytics. Watch for the trap of believing dashboards fix bad master data."
198,2,Global Supply Chain Networks,98,data governance,trap,Exam Trap,Which choice is the most common trap when working with data governance?,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,believing dashboards fix bad master data.,Documenting the assumptions used to make the decision.,C,believing dashboards fix bad master data.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For data governance, remember: define data owners and controls before relying on analytics. Watch for the trap of believing dashboards fix bad master data."
199,2,Global Supply Chain Networks,99,data governance,metric,Applied,"When using metrics or analysis related to data governance, what is the safest interpretation?",It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,B,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For data governance, remember: define data owners and controls before relying on analytics. Watch for the trap of believing dashboards fix bad master data."
200,2,Global Supply Chain Networks,100,data governance,scenario,Scenario,A team is struggling with data governance. What response best reflects CSCP thinking?,define data owners and controls before relying on analytics and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,A,define data owners and controls before relying on analytics and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For data governance, remember: define data owners and controls before relying on analytics. Watch for the trap of believing dashboards fix bad master data."
201,3,Sourcing Products and Services,1,strategic sourcing,concept,Foundation,Which statement best describes strategic sourcing in a CSCP context?,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on a structured approach to selecting suppliers and supply strategies based on value, risk, and total cost.",D,"It focuses on a structured approach to selecting suppliers and supply strategies based on value, risk, and total cost.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For strategic sourcing, remember: analyze spend, market, requirements, supplier capability, and risk before awarding business. Watch for the trap of running every buy as a price-only bid."
202,3,Sourcing Products and Services,2,strategic sourcing,best_action,Applied,A supply chain leader is reviewing strategic sourcing. What is the best next action?,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,"analyze spend, market, requirements, supplier capability, and risk before awarding business.",Increase expediting and overtime before validating the root cause.,C,"analyze spend, market, requirements, supplier capability, and risk before awarding business.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For strategic sourcing, remember: analyze spend, market, requirements, supplier capability, and risk before awarding business. Watch for the trap of running every buy as a price-only bid."
203,3,Sourcing Products and Services,3,strategic sourcing,trap,Exam Trap,Which choice is the most common trap when working with strategic sourcing?,Checking whether the decision supports business strategy.,running every buy as a price-only bid.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,B,running every buy as a price-only bid.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For strategic sourcing, remember: analyze spend, market, requirements, supplier capability, and risk before awarding business. Watch for the trap of running every buy as a price-only bid."
204,3,Sourcing Products and Services,4,strategic sourcing,metric,Applied,"When using metrics or analysis related to strategic sourcing, what is the safest interpretation?","It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,A,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For strategic sourcing, remember: analyze spend, market, requirements, supplier capability, and risk before awarding business. Watch for the trap of running every buy as a price-only bid."
205,3,Sourcing Products and Services,5,strategic sourcing,scenario,Scenario,A team is struggling with strategic sourcing. What response best reflects CSCP thinking?,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"analyze spend, market, requirements, supplier capability, and risk before awarding business and verify the impact through agreed metrics.",D,"analyze spend, market, requirements, supplier capability, and risk before awarding business and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For strategic sourcing, remember: analyze spend, market, requirements, supplier capability, and risk before awarding business. Watch for the trap of running every buy as a price-only bid."
206,3,Sourcing Products and Services,6,category management,concept,Foundation,Which statement best describes category management in a CSCP context?,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on managing groups of spend with common suppliers, markets, risk, or business requirements.",It is mainly a finance-only control that does not affect operations.,C,"It focuses on managing groups of spend with common suppliers, markets, risk, or business requirements.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For category management, remember: develop category strategies based on market leverage and business need. Watch for the trap of using the same sourcing tactic for all categories."
207,3,Sourcing Products and Services,7,category management,best_action,Applied,A supply chain leader is reviewing category management. What is the best next action?,Freeze all planning changes permanently to avoid variation.,develop category strategies based on market leverage and business need.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,B,develop category strategies based on market leverage and business need.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For category management, remember: develop category strategies based on market leverage and business need. Watch for the trap of using the same sourcing tactic for all categories."
208,3,Sourcing Products and Services,8,category management,trap,Exam Trap,Which choice is the most common trap when working with category management?,using the same sourcing tactic for all categories.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,A,using the same sourcing tactic for all categories.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For category management, remember: develop category strategies based on market leverage and business need. Watch for the trap of using the same sourcing tactic for all categories."
209,3,Sourcing Products and Services,9,category management,metric,Applied,"When using metrics or analysis related to category management, what is the safest interpretation?",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",D,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For category management, remember: develop category strategies based on market leverage and business need. Watch for the trap of using the same sourcing tactic for all categories."
210,3,Sourcing Products and Services,10,category management,scenario,Scenario,A team is struggling with category management. What response best reflects CSCP thinking?,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,develop category strategies based on market leverage and business need and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,C,develop category strategies based on market leverage and business need and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For category management, remember: develop category strategies based on market leverage and business need. Watch for the trap of using the same sourcing tactic for all categories."
211,3,Sourcing Products and Services,11,supplier segmentation,concept,Foundation,Which statement best describes supplier segmentation in a CSCP context?,It is used only after customer orders have already shipped.,"It focuses on classifying suppliers by risk, spend, criticality, and strategic importance.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,B,"It focuses on classifying suppliers by risk, spend, criticality, and strategic importance.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For supplier segmentation, remember: apply different governance and relationship models by supplier segment. Watch for the trap of treating office supplies and sole-source production parts the same."
212,3,Sourcing Products and Services,12,supplier segmentation,best_action,Applied,A supply chain leader is reviewing supplier segmentation. What is the best next action?,apply different governance and relationship models by supplier segment.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,A,apply different governance and relationship models by supplier segment.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For supplier segmentation, remember: apply different governance and relationship models by supplier segment. Watch for the trap of treating office supplies and sole-source production parts the same."
213,3,Sourcing Products and Services,13,supplier segmentation,trap,Exam Trap,Which choice is the most common trap when working with supplier segmentation?,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,treating office supplies and sole-source production parts the same.,D,treating office supplies and sole-source production parts the same.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For supplier segmentation, remember: apply different governance and relationship models by supplier segment. Watch for the trap of treating office supplies and sole-source production parts the same."
214,3,Sourcing Products and Services,14,supplier segmentation,metric,Applied,"When using metrics or analysis related to supplier segmentation, what is the safest interpretation?",It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,C,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For supplier segmentation, remember: apply different governance and relationship models by supplier segment. Watch for the trap of treating office supplies and sole-source production parts the same."
215,3,Sourcing Products and Services,15,supplier segmentation,scenario,Scenario,A team is struggling with supplier segmentation. What response best reflects CSCP thinking?,Ask each department to create a separate plan so they can move faster.,apply different governance and relationship models by supplier segment and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,B,apply different governance and relationship models by supplier segment and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For supplier segmentation, remember: apply different governance and relationship models by supplier segment. Watch for the trap of treating office supplies and sole-source production parts the same."
216,3,Sourcing Products and Services,16,make-or-buy decision,concept,Foundation,Which statement best describes make-or-buy decision in a CSCP context?,It focuses on deciding whether to produce internally or purchase externally.,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,A,It focuses on deciding whether to produce internally or purchase externally.,"The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For make-or-buy decision, remember: compare capability, capacity, cost, risk, control, and strategic importance. Watch for the trap of basing the decision only on short-term unit cost."
